Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,74.019997,74.019997,72.150002,72.709999,72.709999,2517600
1/4/2017,72.449997,73.790001,72.449997,73.019997,73.019997,2199300
1/5/2017,71.989998,73,70.309998,70.93,70.93,3579000
1/6/2017,70.980003,71.889999,69.75,71.370003,71.370003,3648100
1/9/2017,71.059998,72,70.879997,71.279999,71.279999,1937700
1/10/2017,71.470001,74.339996,71.440002,73.660004,73.660004,3545200
1/11/2017,75.510002,76.75,74.940002,75.040001,75.040001,5185900
1/12/2017,74.639999,75.639999,72.900002,74,74,4144400
1/13/2017,74.029999,74.75,73.889999,74.32,74.32,2949500
1/17/2017,73.940002,75.089996,73.550003,73.739998,73.739998,4151500
1/18/2017,73,74.93,72.410004,74,74,4568900
1/19/2017,74.059998,74.839996,73.260002,74.019997,74.019997,2768100
1/20/2017,74.300003,75.480003,74.089996,75.239998,75.239998,2966200
1/23/2017,74.660004,75.089996,72.639999,72.75,72.75,4420200
1/24/2017,73.080002,73.580002,72.660004,73.18,73.18,2665300
1/25/2017,73.580002,74.599998,73.040001,73.589996,73.589996,2786800
1/26/2017,74.470001,76,74.120003,75.379997,75.379997,5429700
1/27/2017,75.75,75.980003,74.040001,74.419998,74.419998,4382500
1/30/2017,72.989998,72.989998,70,71.720001,71.720001,3905700
1/31/2017,71.779999,71.779999,69.339996,70.470001,70.470001,5455300
2/1/2017,70.949997,71.860001,70.690002,71.480003,71.480003,3414200
2/2/2017,70.730003,72.339996,70.550003,72.139999,72.139999,3104900
2/3/2017,72.529999,73.25,72.050003,73.059998,73.059998,2517900
2/6/2017,73.400002,74.779999,72.779999,73.5,73.5,3934400
2/7/2017,73.959999,74,71.25,71.290001,71.290001,4972000
2/8/2017,71.5,71.769997,70.730003,71.699997,71.699997,2970600
2/9/2017,71.379997,73.300003,71.230003,72.980003,72.980003,3759700
2/10/2017,73.370003,73.370003,72.199997,72.599998,72.599998,1942400
2/13/2017,72.849998,74.160004,72.839996,73.839996,73.839996,3283800
2/14/2017,73.440002,73.879997,72,73.739998,73.739998,2538100
2/15/2017,75.290001,76.230003,74.82,75.75,75.75,5001600
2/16/2017,75.93,76.300003,75.099998,75.669998,75.669998,2199200
2/17/2017,75.489998,75.970001,74.599998,75.959999,75.959999,1890800
2/21/2017,75.900002,76.230003,74.419998,75.410004,75.410004,2663500
2/22/2017,75.209999,75.57,74.349998,75.43,75.43,1703600
2/23/2017,75.870003,76.459999,73.879997,74.559998,74.559998,4967300
2/24/2017,73.959999,75.110001,73.540001,75.080002,75.080002,2056300
2/27/2017,74.910004,75.519997,74.349998,75.279999,75.279999,1897400
2/28/2017,75.370003,75.370003,73.610001,74.089996,74.089996,3003600
3/1/2017,74.639999,76.650002,74.629997,75.389999,75.389999,3726500
3/2/2017,74.349998,74.739998,73.209999,73.279999,73.279999,2862100
3/3/2017,73.699997,75.989998,73.440002,75.589996,75.589996,4247200
3/6/2017,74.849998,74.849998,71.900002,73.139999,73.139999,5898800
3/7/2017,72.690002,73.230003,72.150002,72.639999,72.639999,3764000
3/8/2017,72.970001,73.650002,72.309998,73.440002,73.440002,3508400
3/9/2017,73.209999,74.599998,72.43,72.540001,72.540001,3732200
3/10/2017,72.330002,73.199997,71.639999,72.339996,72.339996,4552700
3/13/2017,72.190002,72.699997,69.660004,69.849998,69.849998,6741900
3/14/2017,69.379997,69.419998,66.339996,66.550003,66.550003,8262400
3/15/2017,65,68.370003,64.32,68.169998,68.169998,11321600
3/16/2017,67.900002,67.970001,66.440002,67.559998,67.559998,8794400
3/17/2017,67.82,67.910004,66.650002,66.790001,66.790001,5837500
3/20/2017,67.150002,68.050003,66.599998,67.489998,67.489998,4326000
3/21/2017,67.760002,67.870003,65.150002,65.279999,65.279999,4923300
3/22/2017,64.919998,66.959999,64.160004,66.949997,66.949997,4928800
3/23/2017,67.019997,68.559998,66.900002,67.5,67.5,4444400
3/24/2017,67.550003,68.510002,67.529999,67.93,67.93,2626900
3/27/2017,66.720001,68.739998,66.260002,68.370003,68.370003,2943100
3/28/2017,68.410004,71.089996,68.18,70.739998,70.739998,4972900
3/29/2017,70.449997,71,69.529999,69.849998,69.849998,3409900
3/30/2017,69.660004,70.959999,69.660004,70.779999,70.779999,2462400
3/31/2017,70.68,71.190002,70.449997,70.639999,70.639999,2406800
4/3/2017,70.690002,71.419998,69.419998,71.349998,71.349998,2947500
4/4/2017,70.760002,71.080002,69.580002,69.760002,69.760002,2658300
4/5/2017,70.230003,71.349998,69.809998,70.059998,70.059998,2640300
4/6/2017,70.160004,70.93,69.559998,70.220001,70.220001,1874200
4/7/2017,69.970001,71.019997,69.720001,70.879997,70.879997,2471100
4/10/2017,70.550003,72.099998,70.25,71.519997,71.519997,3460400
4/11/2017,70.150002,70.720001,68.360001,70.709999,70.709999,17696500
4/12/2017,71.650002,71.730003,69.690002,69.93,69.93,7622900
4/13/2017,69.900002,70.139999,69.07,69.07,69.07,5185200
4/17/2017,69.510002,70.809998,69.010002,70.769997,70.769997,4761900
4/18/2017,70.970001,70.980003,67.550003,67.75,67.75,11002900
4/19/2017,68.470001,69.790001,67.769997,69.290001,69.290001,6768400
4/20/2017,69.809998,70.089996,69.510002,69.800003,69.800003,4103700
4/21/2017,69.699997,69.889999,68.879997,69.559998,69.559998,3274100
4/24/2017,70.5,71.029999,70.150002,71,71,4638900
4/25/2017,71.400002,72.07,70.760002,70.970001,70.970001,3519800
